dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,is_primary_target,is_limothai_candidate
GSE190749,SD_vs_NonSevere,hsa-miR-1246,8.0,11.0,Severe dengue,Non-severe dengue,7.40128751018524,5.733747646304206,,,1.667539863881034,3.1767242478375177,,2.0929649306611537,0.0677551880881549,0.9413072241304024,0.0620253499510465,0.7613636363636364,,,True,True
GSE190749,SD_vs_NonSevere,hsa-miR-1303,8.0,11.0,Severe dengue,Non-severe dengue,2.704276081892084,0.9457249983842982,,,1.7585510835077858,3.383581369801949,,1.773604960625324,0.1059440559749252,0.9413072241304024,0.0184009550161145,0.8295454545454546,,,False,True
GSE190749,SD_vs_NonSevere,hsa-miR-146a-5p,8.0,11.0,Severe dengue,Non-severe dengue,4.4337214482100284,3.031965502898491,,,1.4017559453115376,2.6422297985395438,,1.6392313559143072,0.1265992907816427,0.9413072241304024,0.1773702733455055,0.6931818181818182,,,False,False
GSE190749,SD_vs_NonSevere,hsa-miR-30d-5p,8.0,11.0,Severe dengue,Non-severe dengue,6.437938279066103,3.656258219395255,,,2.7816800596708475,6.876526742815809,,4.040830457818415,0.0008495496015573,0.3812406226987139,0.0007938398031277,0.9318181818181818,,,False,True
GSE190749,SD_vs_NonSevere,hsa-miR-320a,8.0,11.0,Severe dengue,Non-severe dengue,2.849625967899922,3.253103275268189,,,-0.4034773073682673,0.7560338278107639,,-0.4971289517465993,0.6285340520725029,0.9413072241304024,1.0,0.5,,,False,False
GSE190749,SD_vs_NonSevere,hsa-miR-424-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.0140768781088947,1.2339590769242217,,,1.7801178011846732,3.434542176894116,,3.864054312494444,0.0014332354236793,0.3812406226987139,0.0092636339319006,0.8636363636363636,,,False,True
GSE190749,SD_vs_NonSevere,hsa-miR-574-5p,8.0,11.0,Severe dengue,Non-severe dengue,9.579822972850868,7.334707944851115,,,2.245115027999751,4.740749054943004,,2.457470058394046,0.0295922960121039,0.9413072241304024,0.040882749861078,0.7840909090909091,,,True,True
GSE307678,WS_vs_WO,hsa-miR-122-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.9212967954959638,1.356993795687088,0.68368312261797,2.1122191103311354,-0.4356970001911241,0.739336477339515,1.2817815963468857,-0.33991516295199825,0.761271265210032,0.7682875902350093,1.0,0.5555555555555556,,,False,True
GSE307678,WS_vs_WO,hsa-miR-1246,3.0,3.0,Dengue with warning signs,Dengue without warning signs,1.452231825003522,0.13750352374993502,1.1402066001517737,0.0,1.314728301253587,2.4875547882029854,0.6582985875294145,1.9971610545113643,0.18389029961281111,0.45596202486439397,0.19670560245894686,0.8333333333333334,,,True,True
GSE307678,WS_vs_WO,hsa-miR-126-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE307678,WS_vs_WO,hsa-miR-1303,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE307678,WS_vs_WO,hsa-miR-146a-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE307678,WS_vs_WO,hsa-miR-30d-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE307678,WS_vs_WO,hsa-miR-320a,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.33407580812130044,0.13750352374993502,0.34047318389108255,0.0,0.19657228437136542,1.1459723890620879,0.19657228437136545,0.9999999999999999,0.4226497308103743,0.45596202486439397,0.5049850750938458,0.6666666666666666,,,False,False
GSE307678,WS_vs_WO,hsa-miR-424-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE307678,WS_vs_WO,hsa-miR-486-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,4.646500514708926,1.1248615509347157,1.369565334025648,1.710154268345013,3.52163896377421,11.484681669487854,1.2649554439720332,2.784002377756532,0.05229490371244999,0.455681370127788,0.07652250047505922,1.0,,,False,False
GSE307678,WS_vs_WO,hsa-miR-574-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,4.827062654250585,6.563009579917382,1.5786783465700738,1.6609846733830178,-1.7359469256667968,0.3002119009609614,1.3230136566620054,-1.3121156512069811,0.2598802776111254,0.45596202486439397,0.4,0.2222222222222222,,,True,True
