dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-564,8.0,11.0,Severe dengue,Non-severe dengue,2.1341894096383265,0.9822014581703564,,,1.1519879514679705,2.222198898747462,,1.885016862520868,0.0823059572190106,0.9413072241304024,0.0502655296301972,0.7727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-603,8.0,11.0,Severe dengue,Non-severe dengue,5.789866542370917,6.299948048586495,,,-0.5100815062155784,0.7021827663687642,,-1.8945586257444385,0.0834919904465059,0.9413072241304024,0.0908417348045831,0.2613636363636363,,
GSE190749,SD_vs_NonSevere,hsa-miR-125a-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.8861737409564412,0.9523931330493592,,,0.9337806079070822,1.9102753531720669,,1.8552871832711515,0.0848729397960224,0.9413072241304024,0.1067462885812156,0.7272727272727273,,
GSE190749,SD_vs_NonSevere,hsa-miR-504-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.346034282679428,1.0761027525571911,,,-0.7300684698777633,0.6028753008838441,,-1.8541810592182997,0.0851210999077351,0.9413072241304024,0.1692699134833054,0.3068181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-378i,8.0,11.0,Severe dengue,Non-severe dengue,5.291829034684852,4.441322821450226,,,0.8505062132346266,1.8031334982166156,,1.909014731668493,0.0851654068613695,0.9413072241304024,0.1086502077214151,0.7272727272727273,,
GSE190749,SD_vs_NonSevere,hsa-miR-570-3p,8.0,11.0,Severe dengue,Non-severe dengue,4.649367673110838,5.975180933359149,,,-1.325813260248311,0.3989242525730411,,-1.957690825919556,0.0853966333313243,0.9413072241304024,0.040882749861078,0.2159090909090909,,
GSE190749,SD_vs_NonSevere,hsa-miR-941,8.0,11.0,Severe dengue,Non-severe dengue,0.346034282679428,0.9922768291679788,,,-0.6462425464885507,0.6389422533347404,,-1.83978024869177,0.0859231822690776,0.9413072241304024,0.1893469414350249,0.3181818181818182,,
GSE190749,SD_vs_NonSevere,hsa-miR-498,8.0,11.0,Severe dengue,Non-severe dengue,3.7998410927523776,4.848680555724212,,,-1.0488394629718347,0.4833568314525844,,-1.9144564251354983,0.0880928611087535,0.9413072241304024,0.1288402000476304,0.2840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-3195,8.0,11.0,Severe dengue,Non-severe dengue,0.9422509493217998,0.2674751532426368,,,0.6747757960791629,1.5963486707701595,,1.9328047409475624,0.088416819992617,0.9413072241304024,0.0686702367312775,0.75,,
GSE190749,SD_vs_NonSevere,hsa-miR-1537-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.9482551243078323,1.0502170471285326,,,0.8980380771793,1.863530042275635,,1.785702397790351,0.0921648426496094,0.9413072241304024,0.213480195217061,0.6761363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-519b-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.5832480794450279,1.2531723657475151,,,-0.6699242863024875,0.6285396726199581,,-1.8006880923347297,0.0923838394509654,0.9413072241304024,0.3815158938802444,0.375,,
GSE190749,SD_vs_NonSevere,hsa-miR-2117,8.0,11.0,Severe dengue,Non-severe dengue,4.19042350213225,2.726590594588959,,,1.4638329075432908,2.7584023479159434,,1.7800409699163005,0.0933634706353212,0.9413072241304024,0.0984998100128987,0.7329545454545454,,
